month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2010-01,1,Category A,1152,1145,1342,18502
2010-01,1,Category B,687,679,883,19190
2010-01,1,Category C,173,173,265,19001
2010-01,1,Category D,373,365,509,889
2010-01,1,Category E,586,567,1011,19889
2010-01,2,Category A,1151,1149,1673,20501
2010-01,2,Category B,717,717,1105,22400
2010-01,2,Category C,181,173,280,20090
2010-01,2,Category D,378,378,551,852
2010-01,2,Category E,588,579,1322,21899
2010-02,1,Category A,1154,1153,1326,19989
2010-02,1,Category B,693,690,930,23180
2010-02,1,Category C,165,162,250,21390
2010-02,1,Category D,371,349,525,852
2010-02,1,Category E,601,596,1069,22401
2010-02,2,Category A,1148,1148,1493,20340
2010-02,2,Category B,685,658,956,23889
2010-02,2,Category C,173,170,285,23501
2010-02,2,Category D,363,355,472,1001
2010-02,2,Category E,590,587,1255,24229
2010-03,1,Category A,1148,1141,1758,20802
2010-03,1,Category B,688,667,1087,26389
2010-03,1,Category C,168,164,257,27001
2010-03,1,Category D,385,383,467,1159
2010-03,1,Category E,587,575,1184,27590
2010-03,2,Category A,1146,1137,2183,28389
2010-03,2,Category B,711,699,1207,36089
2010-03,2,Category C,168,141,341,32890
2010-03,2,Category D,,368,495,1200
2010-03,2,Category E,584,554,1507,42001
2010-04,1,Category A,705,597,1379,34001
2010-04,1,Category B,571,571,858,45501
2010-04,1,Category C,180,167,329,36511
2010-04,1,Category D,338,334,409,1221
2010-04,1,Category E,372,328,856,49000
2010-04,2,Category A,706,704,1242,30000
2010-04,2,Category B,561,549,896,40001
2010-04,2,Category C,203,203,298,35556
2010-04,2,Category D,339,311,383,1253
2010-04,2,Category E,390,383,709,43003
2010-05,1,Category A,806,798,1294,26102
2010-05,1,Category B,550,547,869,38000
2010-05,1,Category C,189,187,329,32501
2010-05,1,Category D,340,317,415,
2010-05,1,Category E,404,403,857,39002
2010-05,2,Category A,699,697,1036,27389
2010-05,2,Category B,561,553,715,34600
2010-05,2,Category C,176,170,296,29389
2010-05,2,Category D,364,360,468,1312
2010-05,2,Category E,367,365,608,39000
2010-06,1,Category A,706,704,1107,30051
2010-06,1,Category B,553,546,779,40002
2010-06,1,Category C,178,177,273,30189
2010-06,1,Category D,359,344,504,1452
2010-06,1,Category E,361,322,639,41000
2010-06,2,Category A,699,697,902,31510
2010-06,2,Category B,557,554,720,39911
2010-06,2,Category C,182,175,253,31689
2010-06,2,Category D,340,339,376,1454
2010-06,2,Category E,362,359,682,41006
2010-07,1,Category A,700,676,893,29501
2010-07,1,Category B,557,557,671,35909
2010-07,1,Category C,177,176,277,31389
2010-07,1,Category D,351,347,476,1320
2010-07,1,Category E,399,399,660,41010
2010-07,2,Category A,699,691,967,36162
2010-07,2,Category B,552,548,890,42889
2010-07,2,Category C,183,182,285,30601
2010-07,2,Category D,337,334,372,1290
2010-07,2,Category E,363,357,725,43565
2010-08,1,Category A,622,589,786,32104
2010-08,1,Category B,479,479,662,43334
2010-08,1,Category C,205,205,284,30112
2010-08,1,Category D,336,326,384,1301
2010-08,1,Category E,309,308,594,42901
2010-08,2,Category A,606,606,975,29000
2010-08,2,Category B,482,472,683,42810
2010-08,2,Category C,206,205,275,30002
2010-08,2,Category D,335,330,369,1251
2010-08,2,Category E,315,,583,43501
2010-09,1,Category A,631,628,775,33089
2010-09,1,Category B,479,479,757,44129
2010-09,1,Category C,204,190,291,33000
2010-09,1,Category D,342,329,453,1502
2010-09,1,Category E,310,308,460,44001
2010-09,2,Category A,597,547,993,30001
2010-09,2,Category B,488,488,648,42501
2010-09,2,Category C,206,201,271,31001
2010-09,2,Category D,338,337,364,1452
2010-09,2,Category E,309,307,520,43290
2010-10,1,Category A,601,601,722,33132
2010-10,1,Category B,479,476,630,42801
2010-10,1,Category C,218,217,287,30889
2010-10,1,Category D,345,320,422,1502
2010-10,1,Category E,311,304,518,44090
2010-10,2,Category A,647,647,817,32415
2010-10,2,Category B,479,478,766,44600
2010-10,2,Category C,,210,287,30511
2010-10,2,Category D,333,304,430,1689
2010-10,2,Category E,311,287,455,44900
2010-11,1,Category A,598,598,843,34001
2010-11,1,Category B,482,482,718,45501
2010-11,1,Category C,205,201,270,31006
2010-11,1,Category D,357,352,414,1452
2010-11,1,Category E,316,312,497,46001
2010-11,2,Category A,597,577,833,39000
2010-11,2,Category B,480,459,709,47890
2010-11,2,Category C,205,202,241,31202
2010-11,2,Category D,361,324,424,1502
2010-11,2,Category E,333,332,634,49890
2010-12,1,Category A,598,582,1020,47604
2010-12,1,Category B,479,477,1034,62502
2010-12,1,Category C,208,207,294,32001
2010-12,1,Category D,337,329,410,1701
2010-12,1,Category E,313,313,674,64900
2010-12,2,Category A,617,607,755,46129
2010-12,2,Category B,499,494,872,72001
2010-12,2,Category C,208,205,300,33501
2010-12,2,Category D,369,362,406,1551
2010-12,2,Category E,311,302,463,76102
2011-01,1,Category A,614,602,1192,38889
2011-01,1,Category B,481,474,790,69000
2011-01,1,Category C,205,205,294,35111
2011-01,1,Category D,340,337,398,1503
2011-01,1,Category E,309,305,475,75789
2011-01,2,Category A,607,606,1091,40123
2011-01,2,Category B,483,482,700,58910
2011-01,2,Category C,207,196,272,30000
2011-01,2,Category D,,335,458,1690
2011-01,2,Category E,319,312,433,67009
2011-02,1,Category A,523,501,1146,37124
2011-02,1,Category B,431,431,640,53400
2011-02,1,Category C,275,275,356,28589
2011-02,1,Category D,328,328,417,1819
2011-02,1,Category E,333,326,648,58890
2011-02,2,Category A,511,494,788,42999
2011-02,2,Category B,424,423,726,62000
2011-02,2,Category C,287,282,368,29011
2011-02,2,Category D,330,294,461,2001
2011-02,2,Category E,336,335,558,62001
2011-03,1,Category A,532,530,875,42600
2011-03,1,Category B,424,423,667,61894
2011-03,1,Category C,276,276,360,30001
2011-03,1,Category D,325,310,490,
2011-03,1,Category E,336,324,574,62010
2011-03,2,Category A,527,472,927,43813
2011-03,2,Category B,424,424,579,57002
2011-03,2,Category C,281,279,371,29690
2011-03,2,Category D,362,362,429,2534
2011-03,2,Category E,330,330,458,59073
2011-04,1,Category A,512,511,813,43212
2011-04,1,Category B,425,410,542,55001
2011-04,1,Category C,276,275,316,28189
2011-04,1,Category D,340,335,500,2490
2011-04,1,Category E,341,340,454,57100
2011-04,2,Category A,565,552,964,44000
2011-04,2,Category B,423,422,627,56801
2011-04,2,Category C,277,269,346,23900
2011-04,2,Category D,326,326,478,2502
2011-04,2,Category E,330,329,484,56001
2011-05,1,Category A,511,511,944,44790
2011-05,1,Category B,439,439,650,56011
2011-05,1,Category C,277,277,366,21889
2011-05,1,Category D,330,328,481,2253
2011-05,1,Category E,330,321,498,56490
2011-05,2,Category A,523,521,760,46989
2011-05,2,Category B,424,424,564,56300
2011-05,2,Category C,283,279,381,22989
2011-05,2,Category D,326,324,486,2013
2011-05,2,Category E,331,322,470,56889
2011-06,1,Category A,510,506,880,53390
2011-06,1,Category B,424,403,759,63000
2011-06,1,Category C,276,276,457,29006
2011-06,1,Category D,327,327,507,2491
2011-06,1,Category E,338,295,530,62000
2011-06,2,Category A,512,512,715,50244
2011-06,2,Category B,423,410,684,67700
2011-06,2,Category C,279,270,391,31089
2011-06,2,Category D,328,322,367,2290
2011-06,2,Category E,339,334,468,65490
2011-07,1,Category A,514,497,839,55989
