year,make,number
2010,ALFA ROMEO,105
2010,ASTON MARTIN,34
2010,AUDI,2199
2010,B.M.W.,4708
2010,BENTLEY,49
2010,CHERY,139
2010,CHEVROLET,963
2010,CHRYSLER,32
2010,CITROEN,375
2010,DAIHATSU,83
2010,DODGE,6
2010,DONGFENG,8
2010,FERRARI,69
2010,FIAT,257
2010,FORD,347
2010,GEELY,26
2010,HAFEI,11
2010,HONDA,3272
2010,HUMMER,6
2010,HYUNDAI,2437
2010,JAGUAR,339
2010,JEEP,16
2010,KIA,2934
2010,LAMBORGHINI,53
2010,LAND ROVER,97
2010,LOTUS,16
2010,MASERATI,90
2010,MAZDA,1243
2010,MERCEDES BENZ,4705
2010,MINI,312
2010,MITSUBISHI,960
2010,MITSUOKA,8
2010,NISSAN,1798
2010,OPEL,89
2010,OTHERS,13
2010,PERODUA,169
2010,PEUGEOT,259
2010,PORSCHE,448
2010,PROTON,256
2010,RENAULT,166
2010,ROLLS ROYCE,37
2010,SAAB,13
2010,SKODA,105
2010,SSANGYONG,21
2010,SUBARU,888
2010,SUZUKI,607
2010,TOYOTA,6927
2010,VOLKSWAGEN,3486
2010,VOLVO,816
2010,ZOTYE,5
2011,ALFA ROMEO,48
2011,ASTON MARTIN,25
2011,AUDI,2111
2011,B.M.W.,4959
2011,BENTLEY,60
2011,CHERY,28
2011,CHEVROLET,645
2011,CHRYSLER,29
2011,CITROEN,346
2011,DAIHATSU,40
2011,FERRARI,92
2011,FIAT,129
2011,FORD,238
2011,HONDA,942
2011,HYUNDAI,1289
2011,INFINITI,7
2011,JAGUAR,389
2011,JEEP,17
2011,KIA,953
2011,LAMBORGHINI,49
2011,LAND ROVER,233
2011,LOTUS,14
2011,MASERATI,91
2011,MAZDA,265
2011,MERCEDES BENZ,4166
2011,MINI,363
2011,MITSUBISHI,201
2011,NISSAN,800
2011,OPEL,62
2011,OTHERS,25
2011,PERODUA,15
2011,PEUGEOT,460
2011,PORSCHE,584
2011,PROTON,75
2011,RENAULT,263
2011,ROLLS ROYCE,39
2011,SAAB,42
2011,SKODA,65
2011,SSANGYONG,19
2011,SUBARU,216
2011,SUZUKI,275
2011,TOYOTA,3562
2011,VOLKSWAGEN,3204
2011,VOLVO,835
2012,ALFA ROMEO,49
2012,ASTON MARTIN,22
2012,AUDI,1679
2012,B.M.W.,5039
2012,BENTLEY,93
2012,CHERY,5
2012,CHEVROLET,437
2012,CHRYSLER,13
2012,CITROEN,357
2012,DAIHATSU,37
2012,FERRARI,80
2012,FIAT,24
2012,FORD,354
2012,FOTON,9
2012,HONDA,515
2012,HYUNDAI,1155
2012,INFINITI,72
2012,JAGUAR,383
2012,JEEP,25
2012,KIA,600
2012,LAMBORGHINI,56
2012,LAND ROVER,384
2012,LOTUS,9
2012,MASERATI,84
2012,MAZDA,348
2012,MCLAREN,33
2012,MERCEDES BENZ,4323
2012,MINI,285
2012,MITSUBISHI,61
2012,NISSAN,687
2012,OPEL,99
2012,OTHERS,14
2012,PERODUA,8
2012,PEUGEOT,560
2012,PORSCHE,507
2012,PROTON,53
2012,RENAULT,114
2012,ROLLS ROYCE,49
2012,SAAB,15
2012,SKODA,62
2012,SSANGYONG,16
2012,SUBARU,135
2012,SUZUKI,144
2012,TOYOTA,4272
2012,VOLKSWAGEN,3567
2012,VOLVO,1066
2013,ALFA ROMEO,17
2013,ASTON MARTIN,18
2013,AUDI,1797
2013,B.M.W.,3730
2013,BENTLEY,125
2013,CHEVROLET,256
2013,CHRYSLER,12
2013,CITROEN,172
2013,DAIHATSU,6
2013,FERRARI,69
2013,FIAT,12
2013,FORD,208
2013,HONDA,423
2013,HYUNDAI,460
2013,INFINITI,34
2013,JAGUAR,485
2013,JEEP,19
2013,KIA,268
2013,LAMBORGHINI,23
2013,LAND ROVER,365
2013,MASERATI,56
2013,MAZDA,635
2013,MCLAREN,25
2013,MERCEDES BENZ,3871
2013,MINI,184
2013,MITSUBISHI,29
2013,NISSAN,623
2013,OPEL,120
2013,OTHERS,12
2013,PEUGEOT,295
2013,PORSCHE,363
2013,RENAULT,121
2013,ROLLS ROYCE,58
2013,SAAB,9
2013,SKODA,8
2013,SSANGYONG,7
2013,SUBARU,201
2013,SUZUKI,85
2013,TOYOTA,3459
2013,VOLKSWAGEN,2874
2013,VOLVO,938
2014,ALFA ROMEO,35
2014,ALPINA,8
2014,ASTON MARTIN,4
2014,AUDI,1565
2014,AUSTIN,1
2014,B.M.W.,3239
2014,BENTLEY,70
2014,CHERY,2
2014,CHEVROLET,293
2014,CHRYSLER,10
2014,CITROEN,272
2014,DAIHATSU,6
2014,FERRARI,31
2014,FIAT,6
2014,FORD,208
2014,HOLDEN,1
2014,HONDA,1541
2014,HYUNDAI,869
2014,INFINITI,91
2014,JAGUAR,341
2014,JEEP,17
2014,KIA,749
2014,LAMBORGHINI,10
2014,LAND ROVER,299
2014,LOTUS,2
2014,M.G.,2
2014,MASERATI,56
2014,MAZDA,1967
2014,MCLAREN,11
2014,MERCEDES BENZ,4651
2014,MINI,193
2014,MITSUBISHI,79
2014,MITSUOKA,2
2014,MORGAN,2
2014,NISSAN,1829
2014,OPEL,102
2014,PEUGEOT,229
2014,PORSCHE,375
2014,PROTON,4
2014,RENAULT,125
2014,ROLLS ROYCE,19
2014,RUF,2
2014,SAAB,1
2014,SKODA,1
2014,SSANGYONG,13
2014,SUBARU,627
2014,SUZUKI,107
2014,TOYOTA,5431
2014,TRIUMPH,2
2014,VOLKSWAGEN,2522
2014,VOLVO,910
2015,ALFA ROMEO,31
2015,ALPINA,9
2015,ASTON MARTIN,5
2015,AUDI,2093
2015,AUSTIN,2
2015,B.M.W.,3598
2015,BENTLEY,66
2015,CHERY,5
2015,CHEVROLET,361
2015,CHRYSLER,5
2015,CITROEN,686
2015,DAIHATSU,3
2015,DAIMLER,1
2015,FERRARI,41
2015,FIAT,3
2015,FORD,323
2015,HONDA,7916
2015,HYUNDAI,1805
2015,INFINITI,222
2015,JAGUAR,385
2015,JEEP,29
2015,KIA,1586
2015,LAMBORGHINI,20
2015,LAND ROVER,349
2015,M.G.,1
2015,MASERATI,75
2015,MAZDA,5287
2015,MCLAREN,4
2015,MERCEDES BENZ,5408
2015,MINI,295
2015,MITSUBISHI,1379
2015,MITSUOKA,3
2015,MORRIS,1
2015,NISSAN,5574
2015,OPEL,63
2015,PEUGEOT,525
2015,PORSCHE,589
2015,RANGE ROVER,1
2015,RENAULT,316
2015,ROLLS ROYCE,20
2015,ROVER,1
2015,RUF,1
2015,SSANGYONG,73
2015,SUBARU,1668
2015,SUZUKI,257
2015,THE LONDON TAXI CO,1
2015,TOYO ACE,1
2015,TOYOTA,12171
2015,TRIUMPH,1
2015,VOLKSWAGEN,3056
2015,VOLVO,1274
2016,ALFA ROMEO,39
2016,ALPINA,12
2016,ASTON MARTIN,14
2016,AUDI,2360
2016,B.M.W.,4582
2016,BENTLEY,53
2016,BYD,7
2016,CHERY,10
2016,CHEVROLET,623
2016,CHRYSLER,10
2016,CITROEN,814
2016,DAIHATSU,1
2016,DAIMLER,1
2016,FERRARI,37
2016,FIAT,1
2016,FORD,337
2016,HONDA,19349
2016,HYUNDAI,2587
2016,INFINITI,328
2016,JAGUAR,555
2016,JEEP,9
2016,KIA,2357
2016,KOENIGSEGG,1
2016,LAMBORGHINI,15
2016,LAND ROVER,388
2016,LOTUS,1
2016,M.G.,4
2016,MASERATI,63
2016,MAZDA,7091
2016,MCLAREN,5
2016,MERCEDES BENZ,6444
2016,MINI,383
2016,MITSUBISHI,3632
2016,NISSAN,7028
2016,OPEL,241
2016,PERODUA,18
2016,PEUGEOT,608
2016,PORSCHE,563
2016,RENAULT,462
2016,ROLLS ROYCE,19
2016,SEAT,14
2016,SKODA,2
2016,SSANGYONG,279
2016,SUBARU,2902
2016,SUZUKI,496
2016,TESLA,3
2016,TOYOTA,18491
2016,TRIUMPH,1
2016,VOLKSWAGEN,2779
2016,VOLVO,1485
2017,ALFA ROMEO,12
2017,ALPINA,23
2017,ASTON MARTIN,29
2017,AUDI,2604
2017,AUSTIN,1
2017,B.M.W.,5591
2017,BENTLEY,70
2017,BLUECAR,235
2017,BYD,63
2017,CHERY,13
2017,CHEVROLET,468
2017,CITROEN,722
2017,DAIHATSU,1
2017,DATSUN,2
2017,FERRARI,39
2017,FIAT,1
2017,FORD,355
2017,HONDA,16013
2017,HYUNDAI,3804
2017,INFINITI,302
2017,JAGUAR,553
2017,JEEP,52
2017,KIA,3848
2017,LAMBORGHINI,18
2017,LANCIA,2
