year,rail_type,length
2005,mrt,109.4
2005,lrt,28.8
2006,mrt,109.4
2006,lrt,28.8
2007,mrt,109.4
2007,lrt,28.8
2008,mrt,109.4
2008,lrt,28.8
2009,mrt,118.9
2009,lrt,28.8
2010,mrt,129.9
2010,lrt,28.8
2011,mrt,146.5
2011,lrt,28.8
2012,mrt,148.9
2012,lrt,28.8
2013,mrt,153.2
2013,lrt,28.8
2014,mrt,154.2
2014,lrt,28.8
2015,mrt,170.8
2015,lrt,28.8
2016,mrt,170.8
2016,lrt,28.8
2017,mrt,199.3
2017,lrt,28.8
2018,mrt,199.3
2018,lrt,28.8
2019,mrt,199.3
2019,lrt,28.8
2020,mrt,203.5
2020,lrt,28.8
2021,mrt,216.5
2021,lrt,28.8
2022,mrt,229.7
2022,lrt,28.8
